CompName,StartDateTime,EndDateTime,ElapsedTime,Model,TSID,TSName,OSDResults,FailureReason,SlowSite,USMTBackup,USMTRestore
PC0001,10/2/2018 10:04,10/2/2018 10:22,18.52,HP EliteBook Folio 1040 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Redirect content to Nomad Cache (Images). ,TRUE,FALSE,FALSE
PC0002,10/2/2018 10:06,10/2/2018 10:23,17.22,HP EliteBook Folio 1040 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Redirect content to Nomad Cache (Images). ,TRUE,FALSE,FALSE
PC0003,10/2/2018 10:09,10/2/2018 10:26,16.57,HP EliteBook Folio 1040 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Redirect content to Nomad Cache (Images). ,TRUE,FALSE,FALSE
PC0004,10/2/2018 9:50,10/2/2018 10:48,58.17,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0005,10/2/2018 10:00,10/2/2018 10:57,57.18,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0006,10/2/2018 10:01,10/2/2018 11:04,63.08,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0007,10/2/2018 9:56,10/2/2018 11:08,71.5,HP Compaq Elite 8300 Ultra-Slim Desktop,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0008,10/2/2018 9:47,10/2/2018 11:13,85.8,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0009,10/2/2018 10:23,10/2/2018 11:21,57.75,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0010,10/2/2018 10:51,10/2/2018 11:39,48.28,VMware Virtual Platform,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0011,10/2/2018 11:01,10/2/2018 11:41,39.72,HP EliteDesk 800 G2 DM 35W,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0012,10/2/2018 10:54,10/2/2018 11:49,54.63,HP Pro x2 612 G2,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0013,10/2/2018 10:21,10/2/2018 11:49,88.02,HP ProDesk 400 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,TRUE
PC0014,10/2/2018 9:59,10/2/2018 11:57,117.65,HP EliteBook Folio 1040 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0015,10/2/2018 10:55,10/2/2018 11:57,62.13,HP Pro x2 612 G2,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0016,10/2/2018 10:56,10/2/2018 12:01,64.45,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0017,10/2/2018 10:51,10/2/2018 12:01,70,HP Pro x2 612 G2,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0018,10/2/2018 10:00,10/2/2018 12:04,124.35,HP Elite x2 1012 G2,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Run Invoke-MbamClientDeployment Script. ,FALSE,FALSE,FALSE
PC0019,10/2/2018 11:12,10/2/2018 12:06,54.63,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0020,10/2/2018 11:13,10/2/2018 12:08,55.23,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0021,10/2/2018 11:15,10/2/2018 12:09,54,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0022,10/2/2018 11:15,10/2/2018 12:12,57.78,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0023,10/2/2018 11:03,10/2/2018 12:13,69.85,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
